CFT,MAGic Term,Default,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5TextBox,Edit,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5ListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6UserControlDC,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.VBBubbleRT6,ToolTip,,,,,,,,,,,,,,,,
,WindowClasses.VBBubble,ToolTip,,,,,,,,,,,,,,,,
,WindowClasses.tooltips_class32,ToolTip,,,,,,,,,,,,,,,,
,WindowClasses.OfficeTooltip,ToolTip,,,,,,,,,,,,,,,,
,WindowClasses.Tooltips,ToolTip,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6CheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.TButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.TBitBtn,Button,,,,,,,,,,,,,,,,
,WindowClasses.TAdvGlowButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.TCheckbox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.TExtCheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.TORCheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.TAdvOfficeCheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.TRadioButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.TGroupButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.TGroupRadioButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.TAdvOfficeRadioButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.TRadioGroup,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TGroupBox,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TPanel,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TFrame,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TFlowPanel,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TGridPanel,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TAdvGroupBox,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.TStaticText,StaticText,,,,,,,,,,,,,,,,
,WindowClasses.TLabel,TStaticText,,,,,,,,,,,,,,,,
